iter	Passed	Remaining
0	1	1543
1	4	2166
2	5	1952
3	8	2061
4	9	1970
5	11	1904
6	13	1846
7	14	1804
8	15	1753
9	17	1716
10	21	1961
11	24	1983
12	25	1947
13	27	1918
14	28	1896
15	30	1870
16	31	1841
17	33	1807
18	36	1870
19	37	1856
20	39	1834
21	40	1808
22	42	1790
23	43	1766
24	44	1748
25	46	1731
26	47	1715
27	51	1774
28	52	1771
29	54	1750
30	55	1735
31	56	1716
32	58	1705
33	59	1697
34	60	1680
35	62	1670
36	66	1740
37	68	1729
38	69	1715
39	71	1705
40	72	1695
41	73	1686
42	76	1693
43	82	1783
44	84	1784
45	85	1777
46	87	1764
47	88	1749
48	90	1747
49	96	1825
50	98	1839
51	100	1827
52	101	1814
53	102	1803
54	105	1809
55	107	1812
56	115	1918
57	117	1915
58	120	1916
59	122	1921
60	125	1926
61	128	1943
62	132	1971
63	134	1972
64	137	1977
65	139	1972
66	141	1968
67	143	1971
68	145	1960
69	146	1946
70	147	1932
71	149	1932
72	151	1929
73	153	1918
74	155	1918
75	158	1925
76	159	1914
77	160	1902
78	162	1890
79	163	1879
80	165	1873
81	167	1879
82	168	1863
83	170	1857
84	172	1852
85	173	1848
86	177	1860
87	183	1903
88	186	1911
89	190	1921
90	196	1962
91	198	1958
92	200	1954
93	202	1949
94	213	2033
95	216	2035
96	218	2031
97	220	2027
98	223	2036
99	225	2031
100	227	2027
101	229	2018
102	230	2006
103	235	2025
104	248	2116
105	250	2115
106	254	2122
107	257	2122
108	259	2120
109	261	2115
110	263	2109
111	265	2102
112	274	2152
113	276	2145
114	277	2136
115	279	2129
116	288	2174
117	290	2169
118	292	2163
119	294	2157
120	299	2173
121	300	2165
122	304	2170
123	307	2173
124	310	2170
125	313	2177
126	315	2168
127	318	2171
128	320	2164
129	322	2155
130	323	2147
131	325	2142
132	333	2172
133	335	2165
134	336	2157
135	338	2148
136	339	2139
137	341	2131
138	344	2135
139	346	2129
140	348	2122
141	349	2109
142	350	2100
143	351	2091
144	353	2082
145	354	2074
146	355	2065
147	357	2057
148	359	2055
149	362	2052
150	363	2044
151	364	2035
152	366	2031
153	368	2024
154	373	2033
155	378	2046
156	379	2040
157	382	2037
158	383	2029
159	388	2039
160	389	2029
161	393	2035
162	395	2030
163	397	2024
164	398	2018
165	400	2010
166	407	2032
167	409	2025
168	410	2018
169	411	2010
170	414	2008
171	415	2001
172	422	2020
173	424	2015
174	426	2012
175	430	2014
176	437	2034
177	439	2027
178	441	2022
179	442	2015
180	444	2009
181	452	2034
182	454	2029
183	455	2022
184	457	2014
185	458	2007
186	469	2041
187	471	2034
188	472	2027
189	474	2022
190	483	2046
191	486	2045
192	488	2040
193	489	2033
194	491	2029
195	495	2034
196	498	2031
197	500	2025
198	501	2018
199	502	2011
200	504	2004
201	506	1999
202	508	1998
203	513	2004
204	516	2001
205	518	1997
206	519	1991
207	522	1987
208	523	1982
209	526	1980
210	527	1973
211	529	1967
212	530	1960
213	544	2001
214	547	1998
215	549	1993
216	551	1989
217	556	1995
218	559	1996
219	561	1991
220	563	1987
221	565	1982
222	569	1984
223	574	1988
224	580	1999
225	582	1993
226	586	1997
227	592	2004
228	594	2001
229	596	1997
230	600	1999
231	603	1998
232	605	1993
233	606	1986
234	608	1979
235	609	1973
236	610	1966
237	612	1960
238	614	1958
239	616	1953
240	619	1949
241	620	1942
242	621	1936
243	623	1931
244	624	1924
245	626	1919
246	627	1913
247	631	1914
248	633	1910
249	634	1904
250	636	1898
251	637	1891
252	641	1895
253	650	1911
254	654	1910
255	657	1910
256	665	1924
257	667	1920
258	669	1915
259	670	1908
260	672	1903
261	678	1910
262	681	1909
263	683	1904
264	685	1901
265	688	1899
266	693	1902
267	695	1900
268	697	1896
269	699	1890
270	700	1884
271	710	1900
272	712	1897
273	714	1892
274	716	1889
275	726	1905
276	727	1899
277	730	1896
278	732	1893
279	739	1900
280	741	1898
281	744	1895
282	746	1891
283	754	1901
284	762	1911
285	763	1906
286	767	1906
287	771	1906
288	772	1901
289	774	1895
290	775	1890
291	777	1884
292	779	1879
293	782	1878
294	786	1879
295	788	1875
296	789	1869
297	791	1864
298	793	1859
299	795	1855
300	797	1852
301	799	1847
302	803	1847
303	804	1841
304	805	1836
305	807	1832
306	811	1832
307	813	1828
308	815	1823
309	816	1818
310	818	1813
311	819	1807
312	821	1802
313	825	1803
314	829	1803
315	831	1799
316	833	1794
317	834	1790
318	836	1785
319	839	1784
320	842	1781
321	843	1776
322	845	1771
323	846	1766
324	848	1761
325	850	1757
326	851	1753
327	854	1749
328	856	1746
329	857	1741
330	858	1735
331	860	1730
332	861	1725
